Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00383073, 0.000892967, 0.0029342, 0.000643599, 592, 19368, 15015
0.00442683, 0.00114471, 0.00327857, 0.000436979, 613, 20828, 1108800.00469164, 0.000944027, 0.00374523, 0.000378802, 606, 20682, 9470.0.00449689, 0.00091434, 0.00357899, 0.000402547, 601, 19084, 8970.0.00583159, 0.000968964, 0.00485907, 0.000331298, 608, 20039, 780.00.0048935, 0.00101171, 0.00387823, 0.00036812, 622, 20250, 8340.0.00482938, 0.00135726, 0.00346856, 0.000280233, 632, 20162, 710.00.00420359, 0.00116133, 0.00303751, 0.000255299, 567, 18497, 550.00.00461326, 0.00125752, 0.003351, 0.00028142, 594, 19898, 5775
0.00417153, 0.000976088, 0.00319069, 0.000263621, 600, 20101, 511500.00394116, 0.000897716, 0.0030387, 0.00025055, 584, 20037, 5115
0.00381886, 0.000884654, 0.00292945, 0.000273116, 616, 19995, 5544
0.0047332, 0.0012112, 0.00351843, 0.000292117, 621, 20436, 5049
0.0050645, 0.00196643, 0.00309451, 0.000314681, 611, 20047, 5115
0.00371555, 0.000983213, 0.00272877, 0.000238674, 625, 20163, 4917
0.00392217, 0.00132757, 0.00259103, 0.000199494, 584, 19382, 4422
0.00448502, 0.0013442, 0.00313488, 0.000268362, 601, 20189, 4785
0.0033985, 0.000860906, 0.00253403, 0.000207806, 601, 20282, 3630
0.00335337, 0.000973713, 0.00237729, 0.000198302, 583, 19717, 346500.00384261, 0.00128126, 0.00255778, 0.000243425, 620, 20355, 40.000.00394354, 0.00149857, 0.00244022, 0.000235119, 617, 19680, 440.00.00344243, 0.00113758, 0.0023001, 0.000203056, 609, 19774, 432300.00368111, 0.00116608, 0.00251028, 0.000211365, 629, 20797, 366300.00344837, 0.00111383, 0.00233097, 0.000176936, 592, 18904, 3135
0.00309926, 0.000835968, 0.00225973, 0.00020899, 609, 19966, 3399
0.00417509, 0.00183106, 0.00233929, 0.000257679, 603, 20541, 3465
0.00265871, 0.000800345, 0.00185599, 0.000149619, 592, 20237, 3135
0.00348518, 0.00115777, 0.00232385, 0.000213738, 628, 20994, 376200.00356949, 0.00109127, 0.00247347, 0.000235115, 625, 20067, 30.000.003427, 0.00117796, 0.00224429, 0.000182874, 566, 18830, 300.00.00253997, 0.000811032, 0.00172419, 0.000174559, 604, 19964, 330.00.00328806, 0.00114471, 0.00213979, 0.000200677, 592, 19844, 360.00.00235472, 0.000789657, 0.00156032, 0.000134184, 581, 19697, 0.0020.00292945, 0.000913153, 0.00201274, 0.000176938, 622, 20176, 0.0030.00297101, 0.00117558, 0.00179068, 0.000149618, 619, 20291, 0.0020.00270027, 0.000803907, 0.0018928, 0.000149622, 624, 19841, 0.0020.0028867, 0.00118746, 0.00169569, 0.000160304, 630, 20541, 290.00.00279171, 0.00102121, 0.00176693, 0.000113992, 582, 19204, 210.00.00263615, 0.000820532, 0.00181206, 0.000144871, 611, 20715, 270.00.00257797, 0.000948777, 0.00162444, 0.000144869, 623, 20993, 270.00.00231672, 0.000854968, 0.00145701, 0.000118746, 581, 19623, 240.00.0026599, 0.00103071, 0.00162563, 0.000125868, 616, 20409, 2210.0.00330113, 0.00161375, 0.00168381, 0.00014487, 626, 20159, 283800.00281664, 0.00114352, 0.00166719, 0.000161493, 600, 19472, 2904
0.00309332, 0.00106871, 0.00202224, 0.000143682, 621, 21060, 267300.00288195, 0.00105683, 0.00182156, 0.000146056, 582, 18762, 2112
0.00248772, 0.000960652, 0.00152351, 0.000150813, 607, 19651, 250.00.00234285, 0.00093809, 0.0014012, 0.00011756, 592, 20358, 224400.00276202, 0.0010414, 0.00171825, 0.000137748, 591, 20105, 2310
0.00226804, 0.00087278, 0.0013917, 0.000119933, 600, 19993, 2376
0.00376067, 0.00173131, 0.00202342, 0.000165058, 604, 20215, 2178
0.00222648, 0.000876341, 0.00134657, 0.000118739, 616, 19991, 224400.00227516, 0.000897716, 0.0013727, 0.000105686, 626, 21048, 204600.00241172, 0.00117202, 0.00123495, 9.4996e-05, 588, 19479, 1716
0.00291758, 0.00158763, 0.0013252, 0.000130621, 613, 20074, 2475
0.00262903, 0.00107702, 0.00154725, 0.000114, 579, 19792, 2244
0.00240697, 0.000946401, 0.00145701, 0.000156742, 582, 19630, 2508
0.0023286, 0.000871592, 0.00145226, 0.000127057, 601, 19713, 2442
0.00289501, 0.00148076, 0.00140951, 0.000121118, 613, 20077, 2442
0.00257084, 0.00112096, 0.00144632, 0.000128244, 612, 19500, 2508
0.00291639, 0.00130026, 0.00161138, 0.000119938, 616, 20558, 1848
0.00200917, 0.000828844, 0.00117677, 0.00011756, 609, 19768, 2211
0.00220035, 0.00085853, 0.00133826, 0.000112809, 612, 19579, 2211
0.00196524, 0.000792033, 0.00116964, 0.000103308, 597, 20018, 2013
