TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
9.101, 0.000674173, 0.000254002, 0.000950727, 0, 0, 1.187e-06, 0.00100176, 1.1869e-05
9.2, 0.000930549, 0.000249254, 0.00120117, 0, 0, 0, 0.00124865, 5.935e-06
9.3, 0.000797613, 0.000216021, 0.00103262, 0, 0, 1.187e-06, 0.00107891, 7.121e-06
9.403, 0.00207712, 0.000446283, 0.00256257, 0, 0, 2.374e-06, 0.00265752, 1.3057e-05
9.501, 0.000824912, 0.000194655, 0.00103974, 0, 0, 1.187e-06, 0.00109434, 5.935e-06
9.601, 0.000778622, 0.000187534, 0.000985147, 0, 0, 0, 0.00103262, 7.122e-06
9.702, 0.00108485, 0.000179225, 0.00128663, 0, 0, 1.187e-06, 0.00134241, 7.122e-06
9.803, 0.00210916, 0.000483078, 0.00263141, 0, 0, 2.374e-06, 0.00291983, 8.308e-06
9.901, 0.000856959, 0.000163796, 0.00103856, 0, 0, 0, 0.00110265, 7.12e-06
10.001, 0.00069079, 0.000116318, 0.000823726, 0, 0, 1.187e-06, 0.000867641, 5.935e-06
10.101, 0.000733519, 0.000284861, 0.001035, 0, 0, 1.187e-06, 0.00107179, 8.309e-06
10.201, 0.000758443, 0.000210086, 0.00099108, 0, 0, 1.187e-06, 0.00104331, 7.122e-06
10.3, 0, 0, 5.6972e-05, 0, 0, 0, 9.8514e-05, 3.561e-06
10.4, 0, 0, 7.0028e-05, 0, 0, 1.187e-06, 0.000113945, 3.561e-06
10.5, 0, 0, 6.8842e-05, 0, 0, 1.187e-06, 0.000105636, 3.561e-06
10.603, 0.00289372, 0.000236198, 0.00314891, 0, 0, 1.187e-06, 0.0032225, 7.121e-06
10.702, 0.00171866, 0.000161422, 0.00189789, 0, 0, 1.187e-06, 0.00195842, 7.121e-06
10.802, 0.00230026, 0.000257562, 0.002578, 0, 0, 1.187e-06, 0.00265752, 7.121e-06
10.903, 0.00270737, 0.000217207, 0.00294713, 0, 0, 1.187e-06, 0.0030492, 5.935e-06
11.003, 0.00245337, 0.000258749, 0.00273586, 0, 0, 1.187e-06, 0.0028225, 7.122e-06
11.101, 0.00194536, 0.00023501, 0.00220174, 0, 0, 1.187e-06, 0.0022599, 7.122e-06
11.202, 0.00202133, 0.00025044, 0.00229313, 0, 0, 1.187e-06, 0.00236316, 5.935e-06
11.302, 0.00241064, 0.000282487, 0.00271805, 0, 0, 1.186e-06, 0.00278808, 7.122e-06
11.403, 0.00228838, 0.000230262, 0.00254001, 0, 0, 1.187e-06, 0.00260885, 7.122e-06
11.502, 0.00211747, 0.000245693, 0.00238334, 0, 0, 1.187e-06, 0.00245811, 7.121e-06
11.603, 0.0026231, 0.000286048, 0.00293288, 0, 0, 1.187e-06, 0.00301003, 5.935e-06
11.703, 0.00278096, 0.000262309, 0.00306582, 0, 0, 1.187e-06, 0.00313941, 8.309e-06
11.802, 0.0021234, 0.000254001, 0.00239877, 0, 0, 1.186e-06, 0.00246167, 5.935e-06
11.905, 0.00480941, 0.000195842, 0.00503017, 0, 0, 1.187e-06, 0.00509664, 7.122e-06
12.003, 0.00265277, 0.000237385, 0.00291389, 0, 0, 1.187e-06, 0.00298867, 7.121e-06
12.102, 0.00224447, 0.000340646, 0.00260885, 0, 0, 1.187e-06, 0.00267294, 5.935e-06
12.202, 0.00206405, 0.000168542, 0.0022504, 0, 0, 1.187e-06, 0.00230144, 4.748e-06
12.303, 0.00258511, 0.000160235, 0.00276434, 0, 0, 1.187e-06, 0.00283199, 5.934e-06
12.402, 0.00196079, 0.000183973, 0.00216613, 0, 0, 1.187e-06, 0.00222666, 7.122e-06
12.504, 0.00373999, 0.000211271, 0.00397262, 0, 0, 0, 0.00403553, 7.122e-06
12.602, 0.00236791, 0.000197029, 0.0025863, 0, 0, 1.187e-06, 0.00265277, 7.122e-06
12.702, 0.0018872, 0.000193468, 0.00210204, 0, 0, 1.187e-06, 0.0021602, 7.122e-06
12.802, 0.00143261, 0.0001543, 0.00160709, 0, 0, 1.187e-06, 0.00166644, 5.935e-06
12.903, 0.00237977, 0.000947161, 0.00334711, 0, 0, 1.187e-06, 0.00341002, 5.934e-06
13.002, 0.0014516, 0.00024688, 0.00172103, 0, 0, 1.187e-06, 0.00177801, 8.309e-06
13.102, 0.00167356, 0.000205337, 0.00189907, 0, 0, 1.187e-06, 0.00195248, 7.122e-06
13.202, 0.00162845, 0.000166169, 0.00182073, 0, 0, 1.187e-06, 0.00188364, 7.122e-06
13.301, 0.00144329, 0.000163795, 0.00162964, 0, 0, 1.187e-06, 0.00168424, 7.121e-06
13.401, 0.00115131, 0.000143617, 0.00131273, 0, 0, 1.187e-06, 0.00137089, 7.122e-06
13.501, 0.00100651, 0.000118692, 0.00114419, 0, 0, 0, 0.00119048, 8.308e-06
13.601, 0.000900872, 0.000136495, 0.00105517, 0, 0, 1.187e-06, 0.00110384, 7.122e-06
13.7, 0.00093648, 0.00012344, 0.00107772, 0, 0, 1.187e-06, 0.00112639, 5.934e-06
13.801, 0.00097446, 0.000148365, 0.00114538, 0, 0, 1.187e-06, 0.00119285, 7.122e-06
