lidar_end_time     cpu(%)     memory(GB)
9.57     0.00%        0.15GB
9.61     0.00%        0.15GB
9.64     37.21%        0.15GB
9.68     29.63%        0.15GB
9.71     0.00%        0.15GB
9.74     66.67%        0.15GB
9.78     0.00%        0.15GB
9.81     29.63%        0.15GB
9.85     25.81%        0.15GB
9.88     0.00%        0.15GB
9.92     27.12%        0.15GB
9.95     0.00%        0.15GB
9.98     27.59%        0.15GB
10.02     28.57%        0.15GB
10.05     30.19%        0.15GB
10.08     0.00%        0.15GB
10.12     28.57%        0.15GB
10.15     30.77%        0.15GB
10.19     0.00%        0.15GB
10.22     32.00%        0.15GB
10.26     28.07%        0.15GB
10.29     37.21%        0.15GB
10.32     0.00%        0.15GB
10.36     29.09%        0.15GB
10.39     36.36%        0.15GB
10.42     28.07%        0.15GB
10.46     0.00%        0.15GB
10.49     59.26%        0.15GB
10.52     0.00%        0.15GB
10.56     0.00%        0.15GB
10.60     25.40%        0.15GB
10.63     31.37%        0.15GB
10.66     58.18%        0.16GB
11.68     34.89%        0.16GB
12.72     82.84%        0.16GB
13.74     85.93%        0.16GB
14.76     84.31%        0.16GB
15.80     89.41%        0.16GB
16.90     80.69%        0.16GB
18.02     75.73%        0.16GB
19.09     75.94%        0.16GB
20.12     84.74%        0.16GB
21.19     79.19%        0.16GB
22.24     73.98%        0.16GB
23.30     78.76%        0.16GB
24.33     78.76%        0.16GB
25.36     83.03%        0.16GB
26.39     85.56%        0.16GB
27.46     74.96%        0.16GB
28.55     77.98%        0.16GB
29.59     76.02%        0.16GB
30.61     84.41%        0.16GB
31.66     79.58%        0.16GB
32.68     81.69%        0.16GB
33.72     73.28%        0.16GB
34.84     69.64%        0.16GB
35.89     77.98%        0.17GB
36.92     76.81%        0.16GB
37.95     75.00%        0.16GB
39.01     79.18%        0.16GB
40.05     72.94%        0.17GB
41.09     77.71%        0.17GB
42.15     74.67%        0.17GB
43.19     72.01%        0.17GB
44.26     73.30%        0.17GB
45.32     71.85%        0.17GB
46.48     63.45%        0.17GB
47.57     69.33%        0.17GB
48.60     64.85%        0.17GB
49.66     66.00%        0.17GB
50.70     69.19%        0.17GB
51.74     68.73%        0.17GB
52.77     68.95%        0.17GB
53.82     67.53%        0.17GB
54.86     72.47%        0.18GB
55.90     69.76%        0.18GB
56.94     71.45%        0.18GB
57.99     68.77%        0.18GB
59.03     67.83%        0.18GB
60.07     70.88%        0.18GB
61.14     66.96%        0.18GB
62.21     70.62%        0.18GB
